teams
Oakland Athletics
Washington Nationals
Seattle Mariners
Minnesota Twins
Detroit Tigers
Cleveland Indians
Baltimore Orioles
San Diego Padres
Philadelphia Phillies
Atlanta Braves
Chicago Cubs
Cincinnati Reds
Florida Marlins
Los Angeles Dodgers
New York Yankees
St. Louis Cardinals
Toronto Blue Jays
LA Angels of Anaheim
Colorado Rockies
Milwaukee Brewers
Chicago White Sox
San Francisco Giants
Pittsburgh Pirates
Houston Astros
Arizona D'Backs
Boston Red Sox
Kansas City Royals
Tampa Bay Rays
Texas Rangers
New York Mets
