teams
Oakland Athletics
Washington Nationals
Atlanta Braves
Baltimore Orioles
Chicago Cubs
Cincinnati Reds
Cleveland Indians
Detroit Tigers
Florida Marlins
Los Angeles Dodgers
Minnesota Twins
Philadelphia Phillies
San Diego Padres
Seattle Mariners
New York Yankees
St. Louis Cardinals
LA Angels of Anaheim
Colorado Rockies
Milwaukee Brewers
Toronto Blue Jays
Arizona D'Backs
Chicago White Sox
Houston Astros
Pittsburgh Pirates
San Francisco Giants
Boston Red Sox
Kansas City Royals
New York Mets
Tampa Bay Rays
Texas Rangers
